Name,M/F/H,Date,Habitat Score,COC
Elm Creek Wetlands:  Pond Outfall,Fish,11/13/1996,,
Elm Creek:  Indian Hills Road,Fish,6/17/2020,,10564
Elm Creek:  Indian Hills Road,Fish,6/2/2015,,9297
Elm Creek:  Indian Hills Road,Fish,6/2/2015,,9297
Ewers Creek:  D0418 Road,Fish,7/9/2012,,8051
Ewers Creek:  D0418 Road,Fish,9/30/2004,,
Feather Creek:  Old Hwy 51,Fish,6/27/2023,,11201
Feather Creek:  Old Hwy 51,Fish,8/3/2020,,10564
Feather Creek:  Old Hwy 51,Fish,7/21/2014,,8964
Feather Creek:  Old Hwy 51,Fish,7/2/2009,,
Feather Creek:  Old Hwy 51,Fish,8/25/2005,82,
Fish Creek:  NS393,Fish,9/6/2000,84,
Flat Rock Creek:  Hwy 75,Fish,7/28/2021,,10776
Flat Rock Creek:  Hwy 75,Fish,7/19/2012,,8051
Flat Rock Creek:  Hwy 75,Fish,7/24/2007,,
Flat Rock Creek:  Hwy 75,Fish,8/24/2004,,
"Flint Creek:  Fiddlers Bend, Above Illinois River",Fish,7/17/2013,,8576
"Flint Creek:  Fiddlers Bend, Above Illinois River",Fish,8/5/2008,,
Fourche Maline Creek:  Black Loop,Fish,8/25/2022,,10997
Fourche Maline Creek:  Black Loop,Fish,7/6/2011,,
Fourche Maline Creek:  Black Loop,Fish,6/7/2007,,
Fourche Maline Creek:  Black Loop,Fish,8/29/2000,105,
Fourche Maline Creek:  Centerpoint Road,Fish,8/24/2006,,
Fourche Maline Creek:  Robbers Cave State Park,Fish,6/6/2007,,
Fourche Maline Creek:  Robbers Cave State Park,Fish,7/27/2001,101,
Fourmile Creek:  Adams Park,Fish,7/29/2019,,10311
Fourmile Creek:  Adams Park,Fish,6/2/2014,,8964
Fourmile Creek:  Adams Park,Fish,6/19/2009,,
Frazier Creek: Williams,Fish,6/17/2022,,10997
Fred Creek:  Evanston,Fish,8/16/2021,,10777
Fred Creek:  Evanston,Fish,6/30/2015,,9297
Fred Creek:  Evanston,Fish,6/30/2015,,9297
Fred Creek:  Evanston,Fish,8/16/2007,,
Fred Creek:  Evanston,Fish,7/23/1999,,
Fred Creek:  Evanston,Fish,10/14/1996,,
Fry Creek:  Holland Hall,Fish,6/4/1998,,
Gobbler Creek Trib.:  EW 132 Road,Fish,6/24/2010,,
Guy James Creek: NW Eubanks St.,Fish,6/14/2018,,10051
Guy James Creek: NW Eubanks St.,Fish,8/29/2014,,8968
Guy Sandy Creek,Fish,6/9/2020,,10564
Guy Sandy Creek,Fish REP,6/29/2020,,10564
Hagar Creek: E 91st St S,Fish,6/24/2024,,11412
Haikey Creek Trib: Wolf Creek Park Bridge,Fish,6/3/2021,,10776
Haikey Creek Tributary:  129th Street East,Fish,10/1/1996,,
Haikey Creek:  121st Street,Fish,7/25/2007,,
Haikey Creek:  121st Street,Fish,8/26/2002,100,
Haikey Creek:  121st Street,Fish,7/22/1999,,
Haikey Creek:  121st Street,Fish,10/16/1996,,
Harlow Creek:  Edison,Fish,7/24/2021,,10776
Harlow Creek:  Edison,Fish,6/8/2006,,
Harlow Trib:  Golden Acres,Fish,6/21/2012,,8043
Harlow Trib:  Golden Acres,Fish,7/26/2007,,
Hog Creek: SE 149th,Fish,6/19/2024,,11412
Hog Creek: SE 149th,Fish,7/5/2018,,10051
Hog Creek: SE 149th,Fish-REP,8/23/2018,,10052
