Name,M/F/H,Date,Habitat Score,COC
Cedar Hollow Creek: Nickel Preserve,Fish,8/9/2010,,
Chambers Creek,Fish,7/21/2015,,9297.0
Chambers Creek,Fish,7/21/2015,,9297.0
Cherry Creek: Rainwater,Fish,8/9/2021,,10777.0
Chisholm Creek: 33rd & Western,Fish,6/9/2023,,11201.0
Chisholm Creek: 33rd & Western,Fish,7/1/2019,,10311.0
Chisholm Creek: 33rd & Western,Fish,8/14/2014,,8968.0
Chisholm Creek: 33rd & Western,Fish,6/11/2009,,
Chisholm Creek: 33rd & Western,Fish,8/9/2005,83.0,
Chisholm Creek: NW 186th,Fish,7/26/2019,,10311.0
Chisholm Creek: Sorghum Mill Rd.,Fish,6/3/2015,,9297.0
Chisholm Creek: Sorghum Mill Rd.,Fish,6/3/2015,,9297.0
Clear Boggy Creek: Hwy 377,Fish,7/15/2020,,10564.0
Clear Creek,Fish,6/19/2012,,8043.0
Cloudy Creek: Glass,Fish,7/26/2016,,9601.0
Coal Creek: EW 137 Road (Mail Route Rd.),Fish,6/22/2011,,
Coal Creek: Hwy 11,Fish,8/20/2021,,10777.0
Coal Creek: Hwy 11,Fish,8/19/2016,,9601.0
Coal Creek: Hwy 11,Fish,6/11/2012,,8043.0
Coal Creek: Hwy 11,Fish,8/20/2007,,
Coal Creek: Hwy 11,Fish,8/23/2002,108.0,
Coal Creek: Hwy 11,Fish,11/12/1996,,
Coal Creek: Morris Park,Fish,8/10/2021,,10777.0
Coal Creek: Morris Park,Fish,7/28/1998,,
Coal Creek: N. Sara Rd.,Fish,6/22/2023,,11201.0
Coffee Creek: Hwy 66,Fish,7/16/2020,,10564.0
Coffee Creek: Hwy 66,Fish,7/19/2010,,
Coffee Creek: Hwy 66,Fish,8/11/2006,,
Coffee Creek: N. Sooner Rd.,Fish,7/15/2019,,10311.0
Cow Creek: Hwy 51,Fish,6/26/2023,,11201.0
Cow Creek: Hwy 51,Fish,8/7/2019,,10337.0
Cow Creek: Hwy 51,Fish,6/25/2015,,9297.0
Cow Creek: Hwy 51,Fish,6/25/2015,,9297.0
Cow Creek: Virginia Avenue,Fish,7/1/2009,,
