site_name,latitude,longitude,county,river_basin,ecoregion,source_file,source_description,latitude_source,longitude_source,county_source,river_basin_source,ecoregion_source
Deep Fork River: Wilshire (Site # 110),35.55114167,-97.459,Oklahoma,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Deep Fork Tributary: Classen,35.53349,-97.528907,Oklahoma,Canadian R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Deer Creek: Hwy 4,35.61830556,-97.745,Canadian,Cimarron R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Deer Creek: Meridian Avenue,35.66936111,-97.60275,Oklahoma,Cimarron R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Deer Creek: Coffee Creek Rd.,35.696595,-97.57895,Oklahoma,Cimarron R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Delaware Creek: Camp Simpson Witch Hole,34.40928,-96.540661,Johnston,Lower Red R.,Arbuckle,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Delaware Creek: Hwy 97 Bridge,36.2555,-96.1216,Osage,Arkansas R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Dirty Butter Creek: 36th St N,36.206091,-95.969059,Tulsa,Arkansas R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
Dirty Creek: N 4370 Rd.,35.51223,-95.23845,Muskogee,Arkansas R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
Doe Creek: Yearling,36.50706,-97.32506,Noble,Arkansas R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Dog Creek: Blue Starr Dr.,36.321794,-95.57908,Rogers,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Double Spring Creek: W 730 Road,35.959664,-95.076129,Cherokee,Arkansas R.,Ozark Highlands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Double Springs Creek: Morgan,35.96186111,-95.05377778,Cherokee,Arkansas R.,Ozark Highlands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Duck Creek: Myers Park,36.11162,-97.08418,Payne,Cimarron R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Duck Creek: Ridge & Arrowhead,36.12138,-97.0861,Payne,Cimarron R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
East Brush Creek: McElroy Rd.,36.13072,-97.00242,Payne,Cimarron R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
East Cache Creek: Big Green,34.58692,-98.37067,Comanche,Upper Red R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
East Cache Creek: Rogers Lane,34.63778,-98.3618,Comanche,Upper Red R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Elm Creek Wetlands: East Creek,36.28,-95.821,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Elm Creek Wetlands: Pond Outfall,36.27916667,-95.822,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Elm Creek Wetlands: West Creek,36.27972222,-95.823,Tulsa,Arkansas R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
Elm Creek: 66th Street North,36.25455556,-95.83,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Elm Creek: Indian Hills Road,35.2907,-97.34877,Cleveland,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Ewers Creek: D0418 Road,36.40177778,-99.00077778,Woodward,Cimarron R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Feather Creek: Old Hwy 51,36.1308888,-96.8801944,Payne,Cimarron R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Fish Creek: NS393,35.27547222,-96.01644444,Hughes,Canadian R.,Arkansas Valley,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Flat Rock Creek: E1140 Road,35.3625277,-96.2328333,Okfuskee,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Flat Rock Creek: Hwy 75,36.22514,-95.94467,Tulsa,Arkansas R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Flatrock Creek: Peoria,36.213253,-95.975761,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
"Flint Creek: Fiddlers Bend, Above Illinois River",36.17488889,-94.71891667,Delaware,Illinois R.,Ozark Highlands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
"Fourche Maline Creek: Ayerdale Road, near Red Oak",34.9124,-95.156,Latimer,Arkansas R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
Fourche Maline Creek: Black Loop,34.9184,-95.2174,Latimer,Arkansas R.,Arkansas Valley,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Fourche Maline Creek: Centerpoint Road,34.9334,-95.321,Latimer,Arkansas R.,Arkansas Valley,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Fourche Maline Creek: Robbers Cave State Park,35.00280556,-95.336,Latimer,Arkansas R.,Arkansas Valley,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Fourmile Creek: Adams Park,35.53243,-97.97684,Canadian,Canadian R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Frazier Creek: Williams,34.6998,-94.97273,LeFlore,Little R.,Ouachita Mountains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Fred Creek: Evanston,36.0515,-95.9469,Tulsa,Arkansas R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Fred Creek: Pebble,36.057186,-95.935454,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Gobbler Creek Trib: EW 132 Road,35.10157,-96.08332,Hughes,Canadian R.,Arkansas Valley,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Guy James Creek: NW Eubanks St.,35.5074,-97.51885,Oklahoma,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Guy Sandy Creek,34.519045,-97.025526,Murray,Washita R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Hager Creek: E 91st St,36.0319444,-95.9980555,Tulsa,Arkansas R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
Haikey Creek Tributary: Wolf Creek Park Bridge,36.024557,-95.822941,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Haikey Creek: 121st Street,35.98833333,-95.85166667,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Haikey Creek: Aspen Creek Park,36.049531,-95.811367,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Haikey Tributary: Regent Preparatory School,36.03848,-95.88335,Tulsa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Harlow Creek: Edison,36.1610277,-96.0434444,Tulsa,Arkansas R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Headquarters Creek: Scott,35.898955,-96.99832,Lincoln,Cimarron R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Hickory Creek: Hwy 70,34.172433,-97.174944,Carter,Upper Red R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Hog Creek,35.3195,-97.2497,Cleveland,Canadian R.,Cross Timbers,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Holi-Tuska Trib,35.219305,-94.637633,Le Flore,Arkansas R.,Arkansas Valley,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Holi-Tuska: Grants Farm,35.2190049,-94.63772899,Le Flore,Arkansas R.,Arkansas Valley,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Holson Creek: D4598 (Summerfield),34.840533,-94.853164,LeFlore,Arkansas R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
Hominy Creek: Cotton Gin Road,36.33929722,-96.04857778,Osage,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
"Hominy Creek: D 0410, Cotton Gin Road",36.4245277,-96.3370277,Osage,Arkansas R.,,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,
Honey Creek: Berry Bluff,36.54222222,-97.71052778,Delaware,Arkansas R.,Central Great Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Honey Creek: Gerstner,36.54583333,-94.739,Delaware,Arkansas R.,Ozark Highlands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Honey Creek: Needham,36.54430556,-94.68819444,Delaware,Arkansas R.,Ozark Highlands,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
Horse Creek: S 540 Rd,36.677748,-94.908947,Ottawa,Arkansas R.,Central Irregular Plains,cleaned_site_data.csv,Master site data,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv,cleaned_site_data.csv
